object_name,sectors,ownership_level,service_scale,object_type,process_criticality,critical_process_count,interaction_count,continuous_operation,scada_used,classified_info,life_health_applicable,life_health_level,life_support_applicable,life_support_level,transport_applicable,transport_level,communications_applicable,communications_level,government_service_applicable,government_service_level,government_function_applicable,government_function_level,international_treaty_applicable,international_treaty_level,entity_income_loss_applicable,entity_income_loss_level,federal_budget_loss_applicable,federal_budget_loss_level,financial_market_applicable,financial_market_level,environment_applicable,environment_level,control_center_applicable,control_center_level,defense_order_applicable,defense_order_level,defense_security_system_applicable,defense_security_system_level,category_level,significance_score
АСУ Транспорт #19,transport,municipal,regional,telecom_network,7,6,35,True,False,False,False,0,True,2,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,3,100
Подсистема Наука #20,science,regional,federal,information_system,8,5,41,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,1,32
Контур Химическая промышленность #21,chemistry|finance,private,intersectoral,information_system,6,8,20,True,False,False,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,True,2,True,3,False,0,False,0,False,0,3,100
Платформа Связь #22,communications,private,regional,telecom_network,9,6,24,False,False,False,False,0,True,2,False,0,True,3,False,0,True,1,False,0,True,3,False,0,False,0,False,0,True,1,False,0,False,0,3,100
Платформа ТЭК #23,fuel_energy|energy|defense,private,federal,process_control_system,8,6,50,True,True,True,True,2,False,0,False,0,False,0,False,0,False,0,False,0,True,0,True,3,False,0,False,0,True,3,True,3,True,2,3,100
Сервис Металлургическая промышленность #24,metallurgy|space,federal,regional,information_system,3,5,30,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,True,2,False,0,False,0,True,3,True,3,True,2,3,100
Сервис Транспорт #25,transport,private,local,information_system,5,4,31,False,False,False,True,2,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,2,79
Платформа Оборонная промышленность #26,defense|finance|communications,private,local,information_system,9,5,20,True,False,True,False,0,True,1,False,0,True,3,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,True,3,True,2,3,100
Платформа ТЭК #27,fuel_energy,private,regional,information_system,2,5,26,True,True,False,True,2,True,0,False,0,False,0,True,2,False,0,False,0,True,2,True,0,False,0,True,2,False,0,False,0,False,0,2,90
АСУ Ракетно-космическая промышленность #28,space|transport,regional,local,information_system,7,1,19,True,False,True,True,3,True,0,True,3,True,0,True,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,True,3,False,0,3,100
ИС Металлургическая промышленность #29,metallurgy,regional,regional,process_control_system,5,6,35,True,True,False,False,0,False,0,False,0,False,0,True,1,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,1,32
Подсистема Наука #30,science,regional,intersectoral,information_system,1,3,13,False,True,False,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,2,72
Контур ТЭК #31,fuel_energy,municipal,regional,telecom_network,10,2,29,True,True,False,True,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,True,3,False,0,False,0,False,0,3,100
ИС Оборонная промышленность #32,defense|finance,federal,intersectoral,process_control_system,8,6,30,True,True,True,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,True,1,True,1,True,0,3,100
Контур Связь #33,communications,private,local,information_system,8,7,51,True,False,False,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
Платформа Здравоохранение #34,health|science|communications,municipal,local,process_control_system,7,6,22,True,True,False,True,3,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,True,2,3,100
АСУ Транспорт #35,transport,municipal,federal,process_control_system,5,5,23,True,True,False,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
Платформа Транспорт #36,transport,federal,local,process_control_system,5,2,39,True,True,False,True,1,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,97
Контур Энергетика #37,energy|fuel_energy,federal,intersectoral,information_system,2,2,13,True,False,False,False,0,True,3,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,True,2,False,0,False,0,False,0,3,100
Контур ТЭК #38,fuel_energy,regional,intersectoral,information_system,8,5,24,True,False,False,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,2,68
Платформа ТЭК #39,fuel_energy,federal,local,information_system,5,3,29,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,2,61
Подсистема Финансовый рынок #40,finance,regional,regional,information_system,4,5,16,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,True,1,False,0,False,0,False,0,True,1,1,46
Подсистема Ракетно-космическая промышленность #41,space|science,private,local,information_system,10,4,14,True,False,False,False,0,True,0,False,0,False,0,False,0,False,0,True,3,True,2,False,0,False,0,False,0,False,0,False,0,False,0,3,100
Контур Здравоохранение #42,health,municipal,intersectoral,information_system,6,9,10,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
ИС Здравоохранение #43,health,federal,regional,telecom_network,2,2,18,False,False,True,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,1,32
Подсистема Здравоохранение #44,health,federal,local,process_control_system,5,7,30,True,True,False,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,1,32
ИС Финансовый рынок #45,finance,regional,local,information_system,8,2,48,True,False,False,False,0,False,0,False,0,False,0,True,1,False,0,False,0,True,3,False,0,True,3,False,0,False,0,False,0,False,0,3,100
ИС Транспорт #46,transport,federal,local,information_system,4,4,4,False,False,False,True,1,True,2,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,100
АСУ Энергетика #47,energy,regional,intersectoral,information_system,8,11,11,False,False,False,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
Платформа Связь #48,communications,regional,regional,information_system,7,10,19,True,False,False,False,0,True,3,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,100
Контур Здравоохранение #49,health,federal,federal,information_system,1,2,17,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
Платформа Горнодобывающая промышленность #50,mining,regional,local,process_control_system,6,1,13,False,True,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,True,2,False,0,True,0,False,0,False,0,False,0,3,100
АСУ Энергетика #51,energy,municipal,local,information_system,4,4,14,True,False,False,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,True,3,False,0,False,0,3,100
Платформа Наука #52,science|health,private,local,information_system,9,10,55,True,False,True,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,90
Сервис Горнодобывающая промышленность #53,mining,private,federal,information_system,6,8,19,True,False,True,False,0,False,0,False,0,False,0,True,0,False,0,False,0,True,2,False,0,False,0,True,0,False,0,False,0,False,0,2,61
Платформа Металлургическая промышленность #54,metallurgy,municipal,regional,information_system,8,1,50,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,True,1,False,0,False,0,False,0,1,39
Подсистема Здравоохранение #55,health,regional,regional,information_system,6,3,47,True,False,False,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,1,32
Контур Связь #56,communications,municipal,federal,process_control_system,5,1,26,False,True,False,False,0,True,1,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,True,0,True,2,False,0,False,0,2,75
ИС Наука #57,science,regional,regional,information_system,5,2,14,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
Сервис Наука #58,science,regional,local,information_system,4,1,21,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,1,32
Сервис Транспорт #59,transport,private,federal,process_control_system,9,2,56,True,True,False,True,3,True,2,True,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,3,100
Сервис Транспорт #60,transport|chemistry,regional,regional,information_system,4,2,29,False,False,False,True,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,True,1,False,0,False,0,False,0,1,39
Контур Атомная энергия #61,nuclear,private,regional,information_system,9,1,16,True,False,True,True,1,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,True,1,False,0,False,0,False,0,1,46
Подсистема ТЭК #62,fuel_energy,private,local,process_control_system,9,6,17,True,True,True,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
АСУ Транспорт #63,transport,regional,regional,telecom_network,5,7,34,False,False,False,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,90
Платформа Связь #64,communications|chemistry,private,local,telecom_network,5,6,11,False,False,True,True,3,True,2,False,0,True,3,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,100
АСУ Транспорт #65,transport|health,private,federal,telecom_network,8,11,31,True,False,False,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,2,61
Платформа Ракетно-космическая промышленность #66,space,municipal,federal,telecom_network,9,3,20,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,True,1,False,0,3,97
Платформа Связь #67,communications|finance,regional,regional,telecom_network,7,2,33,True,False,False,False,0,True,2,False,0,True,2,False,0,True,3,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,3,100
Подсистема Здравоохранение #68,health|real_estate,regional,intersectoral,information_system,6,7,46,True,False,False,True,0,False,0,False,0,False,0,True,2,True,3,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,100
Контур Ракетно-космическая промышленность #69,space|chemistry,regional,local,information_system,5,6,25,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,1,32
ИС ТЭК #70,fuel_energy,regional,federal,information_system,5,6,23,True,False,False,True,3,False,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,3,90
Сервис Здравоохранение #71,health,private,intersectoral,information_system,4,5,34,False,False,False,True,2,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,2,68
АСУ Атомная энергия #72,nuclear|health,regional,regional,information_system,2,4,24,False,False,True,False,0,False,0,False,0,False,0,True,3,False,0,True,3,False,0,False,0,False,0,True,0,False,0,False,0,False,0,3,100
Подсистема Финансовый рынок #73,finance,federal,federal,information_system,8,3,49,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,True,1,False,0,False,0,False,0,False,0,3,97
АСУ Наука #74,science|health|fuel_energy,regional,local,information_system,8,11,9,True,False,False,False,0,True,3,False,0,False,0,False,0,False,0,False,0,True,3,True,1,False,0,True,2,False,0,False,0,False,0,3,100
Подсистема Связь #75,communications,municipal,local,information_system,4,3,18,True,False,False,False,0,True,2,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
ИС Энергетика #76,energy,municipal,local,information_system,10,7,14,True,False,False,False,0,False,0,False,0,False,0,True,3,False,0,False,0,True,2,False,0,False,0,False,0,True,2,False,0,False,0,3,100
Платформа Горнодобывающая промышленность #77,mining,regional,regional,process_control_system,4,5,12,True,True,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,1,32
Подсистема Наука #78,science,regional,federal,information_system,8,3,52,True,False,False,False,0,False,0,False,0,False,0,False,0,True,2,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,100
Контур Связь #79,communications,regional,local,information_system,3,4,2,True,False,False,False,0,False,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,True,2,3,100
АСУ Оборонная промышленность #80,defense,private,regional,process_control_system,3,6,25,True,True,True,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,True,1,True,2,2,86
АСУ Транспорт #81,transport|chemistry,private,intersectoral,process_control_system,3,6,18,True,True,False,True,3,True,2,True,0,False,0,False,0,True,2,False,0,False,0,True,3,False,0,True,1,False,0,False,0,False,0,3,100
Подсистема Здравоохранение #82,health,private,regional,process_control_system,6,6,37,True,True,True,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,0,3,100
Платформа Оборонная промышленность #83,defense|mining|science,regional,regional,information_system,5,7,4,True,False,True,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,True,2,True,3,3,100
Сервис Здравоохранение #84,health,municipal,local,telecom_network,6,4,5,False,False,False,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,3,90
Подсистема Транспорт #85,transport|communications,private,federal,telecom_network,5,5,14,True,False,True,False,0,False,0,True,2,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,True,0,2,79
АСУ Госрегистрация прав #86,real_estate|metallurgy,federal,local,information_system,3,1,11,False,False,False,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,True,0,True,3,False,0,False,0,3,100
АСУ Горнодобывающая промышленность #87,mining,private,local,information_system,2,3,24,True,False,False,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,1,39
ИС Транспорт #88,transport,regional,local,process_control_system,7,8,31,True,True,False,True,0,True,0,True,3,False,0,False,0,True,2,False,0,False,0,True,2,False,0,False,0,True,0,False,0,False,0,3,100
Подсистема Оборонная промышленность #89,defense|mining,private,local,information_system,5,7,15,False,False,True,False,0,False,0,False,0,False,0,False,0,False,0,True,3,True,1,False,0,False,0,False,0,False,0,True,3,True,3,3,100
Платформа Атомная энергия #90,nuclear|finance,regional,federal,process_control_system,7,10,11,True,True,False,False,0,True,1,False,0,False,0,False,0,True,2,False,0,False,0,False,0,True,2,True,2,False,0,False,0,False,0,2,90
Подсистема Финансовый рынок #91,finance,private,federal,information_system,7,2,13,False,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,True,2,False,0,False,0,False,0,False,0,2,68
Контур Оборонная промышленность #92,defense,private,local,telecom_network,10,8,14,True,False,True,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,True,2,3,100
Контур Энергетика #93,energy,federal,local,information_system,8,4,10,True,False,False,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,3,100
АСУ Здравоохранение #94,health,regional,regional,information_system,5,2,36,True,False,False,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,1,39
Контур Финансовый рынок #95,finance,regional,local,information_system,7,1,52,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,True,2,False,0,False,0,False,0,False,0,2,68
Контур Горнодобывающая промышленность #96,mining|fuel_energy,federal,local,process_control_system,3,5,13,False,True,False,True,3,True,3,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,3,100
ИС Ракетно-космическая промышленность #97,space|metallurgy,private,intersectoral,information_system,9,11,36,True,False,False,False,0,True,2,False,0,False,0,False,0,False,0,False,0,True,3,True,3,False,0,False,0,False,0,True,3,False,0,3,100
Контур ТЭК #98,fuel_energy|space,private,regional,process_control_system,8,4,5,False,True,False,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,0,2,68
АСУ Финансовый рынок #99,finance,regional,regional,process_control_system,8,1,21,False,True,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,True,3,False,0,False,0,3,100
Подсистема ТЭК #100,fuel_energy|finance,regional,federal,telecom_network,6,2,25,True,False,False,False,0,True,1,False,0,False,0,False,0,False,0,False,0,True,2,False,0,True,1,True,0,False,0,False,0,False,0,2,75
АСУ Горнодобывающая промышленность #101,mining,federal,local,information_system,5,5,13,True,False,False,False,0,True,3,False,0,False,0,False,0,False,0,False,0,True,2,True,1,False,0,False,0,False,0,False,0,False,0,3,100
АСУ Атомная энергия #102,nuclear|fuel_energy,municipal,federal,process_control_system,3,5,20,True,True,False,True,3,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,True,0,False,0,False,0,3,97
АСУ Транспорт #103,transport,municipal,federal,information_system,9,6,25,True,True,False,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,3,97
АСУ Горнодобывающая промышленность #104,mining,municipal,local,information_system,6,9,25,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,True,2,False,0,False,0,False,0,3,100
Контур Транспорт #105,transport,regional,local,process_control_system,6,5,22,True,True,False,True,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0,2,68
ИС Энергетика #106,energy,federal,regional,information_system,9,8,15,True,False,True,True,0,True,1,False,0,False,0,True,0,False,0,False,0,True,2,True,0,False,0,True,0,True,3,False,0,False,0,3,100
АСУ Здравоохранение #107,health|chemistry|transport,municipal,regional,information_system,9,4,11,False,False,False,True,3,False,0,True,0,False,0,False,0,False,0,False,0,True,3,True,3,False,0,True,0,False,0,False,0,False,0,3,100
Платформа Финансовый рынок #108,finance,regional,federal,telecom_network,4,7,34,False,False,False,False,0,True,1,False,0,False,0,False,0,False,0,False,0,True,2,False,0,True,3,False,0,False,0,False,0,False,0,3,100
ИС Госрегистрация прав #109,real_estate|communications,federal,local,information_system,9,2,50,False,True,False,False,0,True,1,False,0,True,2,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,0,2,68
Платформа Здравоохранение #110,health,regional,local,information_system,4,2,9,False,False,False,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
АСУ Оборонная промышленность #111,defense,regional,intersectoral,telecom_network,7,6,16,True,False,True,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,True,1,True,3,3,100
Подсистема ТЭК #112,fuel_energy,federal,local,telecom_network,5,1,11,False,False,False,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
АСУ Энергетика #113,energy,regional,intersectoral,information_system,6,9,20,True,False,False,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,False,0,False,0,False,0,1,32
Подсистема Энергетика #114,energy,municipal,intersectoral,process_control_system,9,1,12,False,True,False,True,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,3,False,0,False,0,3,97
Сервис ТЭК #115,fuel_energy,regional,regional,information_system,7,9,15,True,False,False,False,0,True,1,False,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0,False,0,False,0,1,32
Платформа Связь #116,communications,federal,intersectoral,information_system,8,4,24,True,False,False,False,0,True,2,False,0,True,1,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,68
Контур Наука #117,science,federal,regional,process_control_system,7,2,38,False,True,False,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,1,False,0,False,0,2,68
ИС Атомная энергия #118,nuclear,municipal,regional,information_system,3,1,19,False,False,False,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,True,1,1,32
Контур Транспорт #119,transport,private,federal,telecom_network,3,5,27,False,False,False,True,0,True,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,False,0,2,61
Сервис Энергетика #120,energy|chemistry,municipal,local,information_system,2,3,9,True,False,False,True,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
ИС Ракетно-космическая промышленность #121,space,regional,regional,information_system,3,4,22,True,False,True,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
ИС Металлургическая промышленность #122,metallurgy,regional,local,process_control_system,7,2,19,True,True,True,False,0,True,3,False,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,True,2,False,0,False,0,False,0,3,100
АСУ Энергетика #123,energy|space,regional,local,process_control_system,5,6,3,True,True,False,False,0,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0,False,0,False,0,False,0,True,0,0,0
Сервис Связь #124,communications,regional,regional,information_system,6,4,27,False,False,False,False,0,False,0,False,0,True,3,False,0,True,2,False,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,3,100
Подсистема Горнодобывающая промышленность #125,mining,private,regional,information_system,7,10,29,False,False,False,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,True,3,False,0,False,0,False,0,False,0,False,0,3,90
ИС Госрегистрация прав #126,real_estate,federal,federal,information_system,6,2,26,True,False,False,False,0,True,3,False,0,False,0,True,2,True,2,True,3,False,0,False,0,False,0,False,0,False,0,False,0,True,2,3,100
ИС Связь #127,communications,federal,regional,information_system,4,1,3,True,False,False,False,0,True,3,False,0,True,0,True,3,False,0,False,0,False,0,True,3,False,0,False,0,True,1,False,0,False,0,3,100
Платформа Связь #128,communications,regional,intersectoral,information_system,6,7,38,True,False,False,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,True,2,False,0,True,3,3,100
Платформа Наука #129,science,private,federal,telecom_network,5,4,37,True,False,True,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,0,0
Платформа Оборонная промышленность #130,defense,municipal,federal,information_system,5,6,34,True,True,True,False,0,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,True,3,True,3,True,1,3,100
АСУ Госрегистрация прав #131,real_estate,private,local,process_control_system,9,8,35,True,True,False,False,0,False,0,False,0,False,0,True,3,True,3,True,3,False,0,False,0,False,0,False,0,True,3,False,0,False,0,3,100
ИС Связь #132,communications,regional,federal,information_system,8,4,10,True,False,False,False,0,False,0,False,0,True,2,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,2,61
